c,h,l,o,t,v
7.526139285714286,7.619639285714285,7.519989285714286,7.611778571428571,1262217600,352411052
7.643210714285714,7.660710714285714,7.584989285714286,7.622489285714286,1262563200,493728676
7.656421428571428,7.6996392857142855,7.616060714285714,7.664278571428571,1262649600,601904604
7.534639285714285,7.6867785714285715,7.526778571428571,7.656421428571428,1262736000,552158908
7.520710714285714,7.571421428571428,7.466060714285715,7.562489285714285,1262822400,477129772
7.570710714285714,7.571421428571428,7.4664214285714285,7.510710714285715,1262908800,447876744
7.503921428571429,7.607139285714285,7.4446392857142865,7.599989285714286,1263168000,462229908
7.4185607142857135,7.491778571428571,7.372139285714286,7.471060714285714,1263254400,594459684
7.523210714285715,7.5332107142857145,7.289278571428571,7.423921428571428,1263340800,605889928
7.479639285714286,7.516421428571428,7.464989285714286,7.503921428571429,1263427200,433154064
7.354639285714286,7.557139285714285,7.352489285714285,7.5332107142857145,1263513600,594336848
7.679989285714286,7.68535,7.401421428571429,7.4403500000000005,1263859200,730007208
7.561599999999999,7.698210714285715,7.482139285714285,7.67535,1263945600,612152156
7.431139285714286,7.618339285714286,7.40035,7.574278571428572,1264032000,608154848
7.062489285714285,7.410710714285714,7.041421428571428,7.384989285714285,1264118400,881768356
7.252671428571429,7.310710714285714,7.149639285714286,7.232489285714286,1264377600,1065700272
7.354989285714285,7.632489285714286,7.234989285714286,7.3553500000000005,1264464000,1867111792
7.424421428571429,7.520710714285714,7.1261,7.387489285714286,1264550400,1722569828
7.117489285714286,7.339278571428571,7.096421428571429,7.318921428571429,1264636800,1173502652
6.859389285714286,7.221421428571429,6.794639285714285,7.181421428571428,1264723200,1245952372
6.954639285714285,6.999989285714285,6.832139285714286,6.87035,1264982400,749874412
6.9949892857142855,7.0114214285714285,6.906421428571428,6.996778571428571,1265068800,698341924
7.11535,7.149989285714286,6.943560714285715,6.970350000000001,1265155200,615327664
6.858921428571429,7.084639285714286,6.841778571428571,7.026060714285714,1265241600,757651804
6.980710714285714,6.999989285714285,6.816060714285714,6.879460714285714,1265328000,850306240
6.93285,7.067139285714285,6.928560714285714,6.9889214285714285,1265587200,478268952
7.006778571428571,7.053560714285714,6.95535,7.014989285714286,1265673600,632884728
6.968421428571429,7.021421428571428,6.93785,6.996060714285714,1265760000,370361236
7.095350000000001,7.133921428571428,6.9307107142857145,6.959989285714286,1265846400,550344144
7.156421428571428,7.201421428571429,6.982139285714285,7.07535,1265932800,655468268
7.264278571428571,7.274639285714286,7.197139285714286,7.212139285714286,1266278400,543951576
7.233921428571429,7.296778571428571,7.173560714285714,7.292489285714285,1266364800,436395260
7.247421428571428,7.281778571428572,7.175710714285715,7.201060714285715,1266451200,422824864
7.202489285714286,7.2571392857142865,7.1824892857142855,7.209278571428571,1266537600,415734256
